(97, 62)
(19, 183)
(53, 62)
(18, 91)
(55, 71)
(17, 166)
(56, 76)
(103, 52)
(56, 76)
(95, 68)
(56, 76)
(70, 62)
(72, 65)
(102, 78)
(64, 58)
(23, 28)
(56, 76)
(56, 76)
(52, 20)
(17, 18)
(75, 59)
(17, 39)
(118, 57)
(49, 31)
(56, 76)
(33, 23)
(46, 19)
(56, 76)
(67, 60)
(98, 71)
(44, 46)
(21, 116)
(38, 17)
(56, 76)
(50, 17)
(91, 65)
(40, 19)
(18, 91)
(56, 76)
(23, 141)
(36, 20)
(19, 44)
(20, 70)
(35, 21)
(56, 76)
(17, 38)
(150, 181)
(56, 76)
(61, 18)
(56, 76)
(56, 76)
(23, 156)
(30, 26)
(92, 62)
(48, 138)
(26, 28)
(36, 22)
(40, 28)
(17, 164)
(91, 62)
(62, 17)
(137, 25)
(147, 183)
(56, 76)
(56, 76)
(56, 76)
(35, 99)
(33, 26)
(51, 57)
(57, 70)
(54, 21)
(53, 36)
(101, 70)
(17, 167)
(49, 70)
(46, 167)
(80, 126)
(62, 22)
(72, 65)
(17, 153)
(56, 76)
(26, 18)
(56, 76)
(84, 67)
(27, 29)
(31, 181)
(31, 24)
(56, 76)
(55, 72)
(56, 76)
(53, 66)
(56, 76)
(45, 27)
(56, 76)
(56, 76)
(29, 25)
(32, 105)
(28, 50)
(103, 77)
(23, 90)
(19, 28)
(56, 22)
(52, 17)
(71, 55)
(33, 66)
(67, 61)
(70, 63)
(94, 64)
(53, 62)
(28, 60)
(91, 73)
(56, 76)
(23, 57)
(63, 63)
(17, 37)
(82, 159)
(56, 76)
(32, 41)
(64, 20)
(68, 61)
(150, 55)
(46, 23)
(32, 52)
(35, 33)
(19, 82)
(56, 76)
(46, 19)
(29, 25)
(20, 73)
(69, 62)
(26, 28)
(66, 59)
(33, 34)
(52, 116)
(67, 60)
(24, 61)
(56, 76)
(56, 76)
(53, 50)
(106, 130)
(26, 28)
(65, 59)
(23, 63)
(52, 71)
(56, 76)
(22, 105)
(22, 29)
(90, 71)
(66, 61)
(56, 76)
(56, 76)
(22, 36)
(20, 31)
(65, 20)
(66, 59)
(56, 76)
(21, 23)
(41, 45)
(56, 76)
(56, 76)
(108, 151)
(56, 76)
(56, 76)
(67, 60)
(56, 76)
(21, 41)
(56, 76)
(56, 76)
(56, 76)
(70, 17)
(27, 73)
(73, 66)
(56, 76)
(57, 25)
(68, 61)
(28, 102)
(64, 59)
(112, 130)
(56, 76)
(119, 51)
(56, 76)
(56, 76)
(19, 106)
(56, 76)
(56, 76)
(63, 22)
(56, 76)
(51, 52)
(50, 27)
(17, 53)
(17, 102)
(35, 35)
(56, 76)
(73, 66)
(55, 20)
(56, 76)
(56, 76)
(25, 133)
(79, 127)
(24, 183)
(102, 73)
(133, 39)
(23, 29)
(72, 65)
(18, 22)
(49, 63)
(56, 76)
(56, 76)
(25, 45)
(18, 35)
(62, 66)
(52, 59)
(48, 27)
(99, 71)
(56, 76)
(60, 61)
(18, 89)
(32, 94)
(70, 63)
(56, 76)
(56, 76)
(56, 29)
(45, 61)
(56, 76)
(53, 18)
(56, 76)
(98, 64)
(151, 63)
(56, 76)
(29, 25)
(35, 52)
(92, 63)
(79, 69)
(53, 113)
(24, 30)
(56, 76)
(29, 72)
(68, 17)
(125, 136)
(56, 76)
(26, 52)
(21, 119)
(56, 76)
(56, 76)
(18, 26)
(30, 76)
(56, 76)
(56, 76)
(17, 60)
(22, 51)
(56, 76)
(131, 172)
(47, 47)
(47, 19)
(19, 20)
(25, 56)
(56, 76)
(56, 76)
(75, 58)
(18, 181)
(56, 76)
(91, 66)
(72, 65)
(58, 22)
(33, 77)
(56, 76)
(64, 21)
(28, 50)
(64, 58)
(86, 70)
(22, 74)
(56, 76)
(25, 113)
(43, 29)
(72, 64)
(72, 66)
(56, 76)
(21, 36)
(56, 76)
(56, 76)
(20, 168)
(56, 76)
(56, 76)
(28, 73)
(28, 86)
(158, 36)
(46, 53)
(56, 76)
(91, 137)
(56, 76)
(26, 36)
(56, 76)
(17, 86)
(56, 76)
(27, 92)
(23, 25)
(20, 88)
(25, 169)
(41, 19)
(56, 76)
(31, 28)
(62, 23)
(56, 76)
(18, 31)
(56, 76)
(56, 76)
(49, 62)
(64, 18)
(23, 54)
(25, 82)
(68, 61)
(41, 62)
(19, 22)
(56, 76)
(62, 25)
(89, 68)
(56, 76)
(66, 60)
(22, 29)
(56, 76)
(56, 76)
(195, 168)
(56, 76)
(56, 76)
(22, 114)
(56, 76)
(50, 48)
(71, 63)
(17, 35)
(22, 129)
(110, 142)
(17, 36)
(19, 98)
(104, 77)
(30, 25)
(56, 76)
(31, 23)
(20, 124)
(48, 182)
(60, 21)
(103, 58)
(70, 56)
(71, 63)
(73, 66)
(67, 62)
(33, 85)
(108, 178)
(49, 37)
(56, 76)
(17, 50)
(56, 76)
(63, 58)
(20, 31)
(40, 55)
(56, 76)
(100, 74)
(48, 28)
(43, 19)
(71, 63)
(56, 76)
(32, 60)
(26, 78)
(56, 76)
(17, 83)
(70, 63)
(56, 76)
(51, 70)
(56, 76)
(33, 70)
(44, 149)
(144, 36)
(38, 21)
(56, 76)
(56, 76)
(73, 141)
(69, 58)
(56, 76)
(110, 49)
(79, 124)
(73, 66)
(65, 17)
(24, 68)
(24, 54)
(17, 34)
(40, 180)
(29, 53)
(17, 88)
(29, 27)
(29, 25)
(18, 22)
(22, 108)
(43, 60)
(56, 76)
(52, 55)
(22, 30)
(60, 21)
(17, 36)
(44, 42)
(56, 76)
(19, 28)
(56, 76)
(35, 22)
(23, 56)
(32, 70)
(93, 66)
(20, 33)
(26, 84)
(79, 152)
(56, 76)
(24, 62)
(54, 70)
(17, 78)
(56, 76)
(35, 183)
(29, 25)
(56, 76)
(71, 64)
(22, 29)
(56, 76)
(30, 25)
(56, 76)
(25, 158)
(103, 60)
(31, 56)
(29, 146)
(30, 59)
(26, 52)
(62, 60)
(64, 58)
(35, 34)
(18, 38)
(56, 76)
(39, 21)
(21, 46)
(37, 22)
(25, 60)
(53, 51)
(24, 93)
(56, 76)
(72, 65)
(17, 34)
(56, 76)
(18, 35)
(17, 70)
(21, 31)
(64, 23)
(17, 31)
(22, 56)
(27, 62)
(56, 76)
(24, 24)
(72, 65)
(23, 19)
(56, 76)
(56, 76)
(29, 27)
(45, 66)
(56, 76)
(56, 76)
(20, 129)
(56, 76)
(18, 83)
(56, 76)
(27, 78)
(99, 75)
(17, 25)
(26, 37)
(32, 101)
(56, 76)
(57, 66)
(35, 174)
(71, 53)
(49, 169)
(60, 66)
(56, 76)
(17, 67)
(56, 76)
(102, 55)
(66, 59)
(22, 97)
(40, 20)
(60, 67)
(100, 141)
(71, 64)
(56, 76)
(70, 63)
(20, 40)
(19, 45)
(19, 118)
(124, 50)
(144, 61)
(17, 109)
(63, 58)
(56, 76)
(56, 76)
(50, 19)
(56, 76)
(56, 76)
(65, 22)
(56, 76)
(46, 31)
(56, 76)
(71, 65)
(56, 76)
(23, 67)
(56, 76)
(98, 73)
(55, 106)
(56, 76)
(69, 61)
